q_sim,chi_eff_sim,chi_eff_90cl
5.054139894270192057e-01,8.119424567796457159e-02,2.505061749282542216e-01
4.168170896857690821e-01,-1.101870157797509020e-01,3.597373657408077796e-01
9.193859792708007628e-02,4.946167502198376559e-02,3.802655246392659949e-01
5.442079040020195713e-01,-1.861347977659801589e-01,3.555885712989659830e-01
4.675964876414701599e-01,-3.381720014214751324e-01,5.249450844011944728e-01
3.041670113345509296e-01,-1.130845770723900093e-02,4.354214279909883745e-01
6.084584053747154053e-01,9.610195006781561619e-03,2.471559356267604146e-01
7.491518978431290776e-01,-1.317162381911629598e-02,2.503672082798597542e-01
4.968639871975836786e-01,2.752175810280394486e-01,1.478265688884297657e-01
2.806530964167116005e-01,3.152963836297291711e-01,1.997214283345969954e-01
8.993831046161974152e-01,-5.832696944278410039e-02,3.217091857971405844e-01
7.643814288387486000e-01,-1.833830218490375974e-02,2.387019019710805434e-01
5.140506969745749499e-01,2.328018213267659398e-01,2.966852949112052107e-01
5.551639796482459033e-02,-1.554936060566959599e-01,4.138255243482220069e-01
7.870760859566703349e-01,3.993897435015500985e-01,1.240328788106693225e-01
3.948048017162692491e-01,3.596389488252063615e-02,3.356718498710180576e-01
6.891790195502413008e-01,5.938141228902890090e-01,9.250975293505581121e-02
3.824799918418210765e-01,-2.562041673742494474e-01,5.516921497061890722e-01
2.465888945618850414e-01,4.145414545832524222e-01,1.374283319785397084e-01
1.007722965409052207e-01,-7.430141202855600202e-02,6.524011866999925857e-01
4.499735151762708774e-01,-6.638373393290905033e-01,6.941433434667987346e-01
1.207185986106523307e-01,2.164600340629673492e-01,2.293656280222527155e-01
4.577290008098462981e-01,1.543630037366511831e-01,2.282787123052955058e-01
