# fi,prior,high,flat,low
1.201201201201201191e-01,1.000000000000000000e+00,4.195491517342077141e-03,3.311360924489759744e-02,1.374512702711492840e-01
1.211211211211211253e-01,1.000000000000000000e+00,4.293598607070851086e-03,3.356265660703231651e-02,1.386003078902802998e-01
1.221221221221221176e-01,1.000000000000000000e+00,4.390290680023029891e-03,3.400877747201126039e-02,1.396784455531788760e-01
1.231231231231231238e-01,1.000000000000000000e+00,4.493262638664335430e-03,3.447316642287411026e-02,1.408477757270449049e-01
1.241241241241241300e-01,1.000000000000000000e+00,4.596800510782673814e-03,3.493534976732141917e-02,1.420166200630283149e-01
1.251251251251251362e-01,1.000000000000000000e+00,4.705985090547503726e-03,3.542054329599860635e-02,1.432430559551007843e-01
1.261261261261261146e-01,1.000000000000000000e+00,4.818825477032604929e-03,3.591758911323508080e-02,1.444369107817121134e-01
1.271271271271271208e-01,1.000000000000000000e+00,4.930496698252869944e-03,3.639938190304602139e-02,1.456727874327012895e-01
1.281281281281281270e-01,1.000000000000000000e+00,5.043172208683205544e-03,3.688340088988600191e-02,1.468144879780363121e-01
1.291291291291291332e-01,1.000000000000000000e+00,5.158243593935445820e-03,3.737734662770732241e-02,1.480134851787065220e-01
1.301301301301301394e-01,1.000000000000000000e+00,5.272693136823924757e-03,3.786858230037561807e-02,1.492326359199121766e-01
1.311311311311311179e-01,1.000000000000000000e+00,5.391628262570015949e-03,3.835776153650412301e-02,1.504387178740196895e-01
1.321321321321321240e-01,1.000000000000000000e+00,5.508436403681146037e-03,3.883590130104022653e-02,1.516178179058511044e-01
1.331331331331331302e-01,1.000000000000000000e+00,5.629605818355606570e-03,3.934985748770919445e-02,1.528043462571411493e-01
1.341341341341341364e-01,1.000000000000000000e+00,5.753957184680431186e-03,3.988437979426504715e-02,1.540444964842187237e-01
1.351351351351351426e-01,1.000000000000000000e+00,5.880666958964604445e-03,4.041812703348673930e-02,1.552677850118329428e-01
1.361361361361361211e-01,1.000000000000000000e+00,6.007373589972017300e-03,4.095321201184061455e-02,1.564973290402618955e-01
1.371371371371371273e-01,1.000000000000000000e+00,6.136884797901689600e-03,4.148613127568995251e-02,1.577025983425806577e-01
1.381381381381381335e-01,1.000000000000000000e+00,6.268492162484371952e-03,4.202754019079817105e-02,1.589221229074458119e-01
1.391391391391391397e-01,1.000000000000000000e+00,6.396726999608969531e-03,4.256622656394266208e-02,1.601903309446396084e-01
1.401401401401401459e-01,1.000000000000000000e+00,6.528009524836292897e-03,4.310968827288694238e-02,1.614192274180478448e-01
1.411411411411411521e-01,1.000000000000000000e+00,6.666912288817706395e-03,4.365344815647005661e-02,1.627046018897071178e-01
1.421421421421421305e-01,1.000000000000000000e+00,6.803003132289744438e-03,4.419226463397150917e-02,1.639218634013575315e-01
1.431431431431431367e-01,1.000000000000000000e+00,6.944883851620015612e-03,4.474231368263750092e-02,1.652026346268182788e-01
